course-full,courde-code,course-title,course-href,level,
EU465 Research Methods and Design in EU Politics,EU465,Research Methods and Design in EU Politics,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU465.htm,Postgraduate ,
SA4E9 Advanced Health Economics,SA4E9,Advanced Health Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4E9.htm,Postgraduate ,
SO480 Urban Inequalities,SO480,Urban Inequalities,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO480.htm,Postgraduate ,
LL4CE Security and Criminal Law,LL4CE,Security and Criminal Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CE.htm,Postgraduate ,
MN404 Incentives and Governance in Organisations,MN404,Incentives and Governance in Organisations,http://www.lse.ac.uk/resources/calendar/courseGuides/MN/2014_MN404.htm,Postgraduate ,
LL408E Comparative Constitutional Law: Institutions,LL408, Comparative Constitutional Law: Institutions,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL408E.htm,Postgraduate ,
ID419 Cross Cultural Management,ID419,Cross Cultural Management,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID419.htm,Postgraduate ,
LL407 Media and Communications Regulation,LL407,Media and Communications Regulation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL407.htm,Postgraduate ,
SO465 City-making: the Politics of Urban Form,SO465,City-making: the Politics of Urban Form,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO465.htm,Postgraduate ,
MY499 Dissertation,MY499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/MY/2014_MY499.htm,Postgraduate ,
MA420 Quantifying Risk and Modelling Alternative Markets,MA420,Quantifying Risk and Modelling Alternative Markets,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA420.htm,Postgraduate ,
AC420 Financial Reporting in Capital Markets,AC420,Financial Reporting in Capital Markets,http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC420.htm,Postgraduate ,
LL4BX Corporate Governance - Advanced Topics,LL4BX,Corporate Governance - Advanced Topics,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BX.htm,Postgraduate ,
LL4B1 Foundations of International Economic Law,LL4B1,Foundations of International Economic Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4B1.htm,Postgraduate ,
EU446E Economic Governance of EMU (modular),EU446, Economic Governance of EMU (modular),http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU446E.htm,Postgraduate ,
FM499 Dissertation,FM499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM499.htm,Postgraduate ,
LL4K2 Law of International Economic and Financial Sanctions,LL4K2,Law of International Economic and Financial Sanctions,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4K2.htm,Postgraduate ,
FM4T6 Topics in Portfolio Management - Dissertation,FM4T6,Topics in Portfolio Management - Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM4T6.htm,Postgraduate ,
LL417E International Commercial Contracts: General Principles,LL417, International Commercial Contracts: General Principles,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL417E.htm,Postgraduate ,
MG4A1 MSc Management pre-sessional: Skills Preparation for the MiM,MG4A1,MSc Management pre-sessional: Skills Preparation for the MiM,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG4A1.htm,Postgraduate ,
EU435 History and Theory of European Integration,EU435,History and Theory of European Integration,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU435.htm,Postgraduate ,
ST436 Financial Statistics,ST436,Financial Statistics,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST436.htm,Postgraduate ,
GY421 Gender and Development : Geographical Perspectives,GY421,Gender and Development : Geographical Perspectives,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY421.htm,Postgraduate ,
IR412 International Institutions,IR412,International Institutions,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR412.htm,Postgraduate ,
"MC421 Critical Approaches to Media, Communication and Development",MC421,"Critical Approaches to Media, Communication and Development",http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC421.htm,Postgraduate ,
EU463 European Human Rights Law,EU463,European Human Rights Law,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU463.htm,Postgraduate ,
MG452 Behavioural Economics for Management,MG452,Behavioural Economics for Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG452.htm,Postgraduate ,
GY432 Urban Ethnography,GY432,Urban Ethnography,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY432.htm,Postgraduate ,
MC426 Film Theory and World Cinema,MC426,Film Theory and World Cinema,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC426.htm,Postgraduate ,
PH415 Philosophy and Public Policy,PH415,Philosophy and Public Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH415.htm,Postgraduate ,
EC421 International Economics,EC421,International Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC421.htm,Postgraduate ,
EU455 Concepts in Political Economy,EU455,Concepts in Political Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU455.htm,Postgraduate ,
MC402 The Audience in Media and Communications,MC402,The Audience in Media and Communications,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC402.htm,Postgraduate ,
GY462 Real Estate Finance,GY462,Real Estate Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY462.htm,Postgraduate ,
PH421 Dissertation Seminar - Philosophy and Public Policy,PH421,Dissertation Seminar - Philosophy and Public Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH421.htm,Postgraduate ,
SO479 Human Rights and Postcolonial Theory,SO479,Human Rights and Postcolonial Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO479.htm,Postgraduate ,
OR499 Dissertation: MSc Management Science,OR499,Dissertation: MSc Management Science,http://www.lse.ac.uk/resources/calendar/courseGuides/OR/2014_OR499.htm,Postgraduate ,
IR415 Strategic Aspects of International Relations,IR415,Strategic Aspects of International Relations,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR415.htm,Postgraduate ,
IR448 American Grand Strategy,IR448,American Grand Strategy,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR448.htm,Postgraduate ,
IR462 Introduction to International Political Theory,IR462,Introduction to International Political Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR462.htm,Postgraduate ,
SA4L2 Contemporary Issues in European Social Policy,SA4L2,Contemporary Issues in European Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4L2.htm,Postgraduate ,
GV4B6 Kant's Political Philosophy,GV4B6,Kant's Political Philosophy,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4B6.htm,Postgraduate ,
MG416 Project,MG416,Project,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG416.htm,Postgraduate ,
IS417 Global Sourcing and Management of Business and IT Services,IS417,Global Sourcing and Management of Business and IT Services,http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS417.htm,Postgraduate ,
SO433 Cultural Theory,SO433,Cultural Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO433.htm,Postgraduate ,
EH487 International Economic Institutions since World War I,EH487,International Economic Institutions since World War I,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH487.htm,Postgraduate ,
SO470 The Sociology of Markets,SO470,The Sociology of Markets,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO470.htm,Postgraduate ,
AN468 The Anthropology of Schooling,AN468,The Anthropology of Schooling,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN468.htm,Postgraduate ,
EU437 Europe Beyond Modernity,EU437,Europe Beyond Modernity,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU437.htm,Postgraduate ,
SA4G4 Statistical Methods in Health Care Economic Evaluation,SA4G4,Statistical Methods in Health Care Economic Evaluation,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4G4.htm,Postgraduate ,
MN428 Evolutionary Psychology and Management,MN428,Evolutionary Psychology and Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MN/2014_MN428.htm,Postgraduate ,
MG458 Foundations of Management I,MG458,Foundations of Management I,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG458.htm,Postgraduate ,
MN425 Business in the Global Environment,MN425,Business in the Global Environment,http://www.lse.ac.uk/resources/calendar/courseGuides/MN/2014_MN425.htm,Postgraduate ,
OR426 Computer Modelling: Applied Statistics and Simulation,OR426,Computer Modelling: Applied Statistics and Simulation,http://www.lse.ac.uk/resources/calendar/courseGuides/OR/2014_OR426.htm,Postgraduate ,
SA4L1 The Governance of Welfare: The Nation State and the European Union,SA4L1,The Governance of Welfare: The Nation State and the European Union,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4L1.htm,Postgraduate ,
GV441 States and Markets,GV441,States and Markets,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV441.htm,Postgraduate ,
"GI407 Globalisation, Gender and Development",GI407,"Globalisation, Gender and Development",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI407.htm,Postgraduate ,
"EH486 Shipping and Sea Power in Asian Waters, c 1600-1860",EH486,"Shipping and Sea Power in Asian Waters, c 1600-1860",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH486.htm,Postgraduate ,
AN451 Anthropology of Politics,AN451,Anthropology of Politics,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN451.htm,Postgraduate ,
EH463 The Long-Run Analysis of Firms and Industries,EH463,The Long-Run Analysis of Firms and Industries,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH463.htm,Postgraduate ,
IS490 Study Skills and Research Methods,IS490,Study Skills and Research Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS490.htm,Postgraduate ,
IR496 Dissertation: MSc International Strategy and Diplomacy (1.5 units),IR496,Dissertation: MSc International Strategy and Diplomacy (1.5 units),http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR496.htm,Postgraduate ,
IR422 Conflict and Peace Studies,IR422,Conflict and Peace Studies,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR422.htm,Postgraduate ,
LL401E The Law of Armed Conflict,LL401, The Law of Armed Conflict,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL401E.htm,Postgraduate ,
LL4G7 Mental Health Law: The Civil Context,LL4G7,Mental Health Law: The Civil Context,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4G7.htm,Postgraduate ,
LL440 Corporate Accountability: Topics in Legal and Accounting Regulation,LL440,Corporate Accountability: Topics in Legal and Accounting Regulation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL440.htm,Postgraduate ,
EC4V8 MPA Policy Paper,EC4V8,MPA Policy Paper,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC4V8.htm,Postgraduate ,
LL4CD European Company Law,LL4CD,European Company Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CD.htm,Postgraduate ,
"MA418 Preferences, Optimal Portfolio Choice, and Equilibrium",MA418,"Preferences, Optimal Portfolio Choice, and Equilibrium",http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA418.htm,Postgraduate ,
EU450 Europe: Contemporary Issues,EU450,Europe: Contemporary Issues,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU450.htm,Postgraduate ,
SA4G1 Financing Health Care,SA4G1,Financing Health Care,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4G1.htm,Postgraduate ,
GV450 European Politics: Comparative Analysis,GV450,European Politics: Comparative Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV450.htm,Postgraduate ,
EU420 European Law and Government,EU420,European Law and Government,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU420.htm,Postgraduate ,
SA4F7 The Economics of European Social Policy,SA4F7,The Economics of European Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4F7.htm,Postgraduate ,
SO434 Cultural Theory and Cultural Forms,SO434,Cultural Theory and Cultural Forms,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO434.htm,Postgraduate ,
SA4C3 Statistical Methods in Health Care Economic Evaluation,SA4C3,Statistical Methods in Health Care Economic Evaluation,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4C3.htm,Postgraduate ,
GY465 Concepts in Environmental Regulation,GY465,Concepts in Environmental Regulation,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY465.htm,Postgraduate ,
"HY463 The Origins of the Cold War, 1917-1962",HY463,"The Origins of the Cold War, 1917-1962",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY463.htm,Postgraduate ,
GV4F2 Popular Politics in the Middle East,GV4F2,Popular Politics in the Middle East,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4F2.htm,Postgraduate ,
AN462 The Anthropology of Post-Soviet Eurasia,AN462,The Anthropology of Post-Soviet Eurasia,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN462.htm,Postgraduate ,
MN499 Dissertation,MN499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/MN/2014_MN499.htm,Postgraduate ,
PS464 Social Influence,PS464,Social Influence,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS464.htm,Postgraduate ,
SO448 City Design: Research Studio,SO448,City Design: Research Studio,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO448.htm,Postgraduate ,
MG450 Social Network Analysis and Strategies,MG450,Social Network Analysis and Strategies,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG450.htm,Postgraduate ,
EC402 Econometrics,EC402,Econometrics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC402.htm,Postgraduate ,
"SA4G9 Dissertation for MSc Health Policy, Planning and Financing",SA4G9,"Dissertation for MSc Health Policy, Planning and Financing",http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4G9.htm,Postgraduate ,
MG443 Organisational Behaviour (modular),MG443,Organisational Behaviour (modular),http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG443.htm,Postgraduate ,
EH464 The Historical Context of Business,EH464,The Historical Context of Business,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH464.htm,Postgraduate ,
"AC424 Accounting, Organisations and Institutions",AC424,"Accounting, Organisations and Institutions",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC424.htm,Postgraduate ,
GY499 Dissertation,GY499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY499.htm,Postgraduate ,
LL4Z9 Banking Law,LL4Z9,Banking Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4Z9.htm,Postgraduate ,
IS479 Information Systems for the Public Sector: Digital Government and Service Innovation,IS479,Information Systems for the Public Sector: Digital Government and Service Innovation,http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS479.htm,Postgraduate ,
"EU458 Identity, Community and the 'Problem of Minorities'",EU458,"Identity, Community and the 'Problem of Minorities'",http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU458.htm,Postgraduate ,
MG431 Managerial Economics,MG431,Managerial Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG431.htm,Postgraduate ,
GV483 Public Management Theory and Doctrine,GV483,Public Management Theory and Doctrine,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV483.htm,Postgraduate ,
EH401 Historical Analysis of Economic Change,EH401,Historical Analysis of Economic Change,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH401.htm,Postgraduate ,
LL4AF Principles of Global Competition Law,LL4AF,Principles of Global Competition Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AF.htm,Postgraduate ,
EH481 Economic Change in Global History: Approaches and Analysis,EH481,Economic Change in Global History: Approaches and Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH481.htm,Postgraduate ,
LL4AV Global Trade Governance: Contemporary Issues,LL4AV,Global Trade Governance: Contemporary Issues,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AV.htm,Postgraduate ,
PS451 Cognition and Culture,PS451,Cognition and Culture,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS451.htm,Postgraduate ,
"HY436 Race, Violence and Colonial Rule in Africa",HY436,"Race, Violence and Colonial Rule in Africa",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY436.htm,Postgraduate ,
IS499 Dissertation: MSc MISDI,IS499,Dissertation: MSc MISDI,http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS499.htm,Postgraduate ,
GI400 Gender Theories in the Modern World: An Interdisciplinary Approach,GI400,Gender Theories in the Modern World: An Interdisciplinary Approach,http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI400.htm,Postgraduate ,
"LL4AJ Insolvency Law: Principles, Rescue and Reconstruction Processes",LL4AJ,"Insolvency Law: Principles, Rescue and Reconstruction Processes",http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AJ.htm,Postgraduate ,
"MG419 Public Management - Strategy, Innovation and Delivery",MG419,"Public Management - Strategy, Innovation and Delivery",http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG419.htm,Postgraduate ,
GV4B3 MPA Capstone Project,GV4B3,MPA Capstone Project,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4B3.htm,Postgraduate ,
GV4E9 Approaches and Issues in Public Policy and Administration,GV4E9,Approaches and Issues in Public Policy and Administration,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4E9.htm,Postgraduate ,
HY438 Western Intellectuals and the Challenge of Totalitarianism,HY438,Western Intellectuals and the Challenge of Totalitarianism,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY438.htm,Postgraduate ,
FM410 Private Equity,FM410,Private Equity,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM410.htm,Postgraduate ,
"AC412 Accountability, Organisations and Risk Management",AC412,"Accountability, Organisations and Risk Management",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC412.htm,Postgraduate ,
LL410E International Financial Law and Practice I,LL410, International Financial Law and Practice I,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL410E.htm,Postgraduate ,
GV488E Regulatory Analysis,GV488, Regulatory Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV488E.htm,Postgraduate ,
LL4F6 International Dispute Resolution: Non-Adjudicatory,LL4F6,International Dispute Resolution: Non-Adjudicatory,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4F6.htm,Postgraduate ,
PS447 Psychoanalysis and Communication,PS447,Psychoanalysis and Communication,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS447.htm,Postgraduate ,
PH419 Set Theory and Further Logic,PH419,Set Theory and Further Logic,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH419.htm,Postgraduate ,
LL4BL Financial Crime,LL4BL,Financial Crime,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BL.htm,Postgraduate ,
GV4G3 Foundations of Political Theory (MRes),GV4G3,Foundations of Political Theory (MRes),http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4G3.htm,Postgraduate ,
HY429 Anglo-American Relations from World War to Cold War,HY429,Anglo-American Relations from World War to Cold War,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY429.htm,Postgraduate ,
PH404 Scientific Revolutions: Philosophical and Historical Issues,PH404,Scientific Revolutions: Philosophical and Historical Issues,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH404.htm,Postgraduate ,
FM447 Global Financial Systems,FM447,Global Financial Systems,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM447.htm,Postgraduate ,
LL4AA Global Copyright Policy: Contemporary Issues,LL4AA,Global Copyright Policy: Contemporary Issues,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AA.htm,Postgraduate ,
IR457 The Political Economy of International Trade,IR457,The Political Economy of International Trade,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR457.htm,Postgraduate ,
"MG446 Strategy, Organisation and Innovation (modular)",MG446,"Strategy, Organisation and Innovation (modular)",http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG446.htm,Postgraduate ,
EU424 The Idea of Europe,EU424,The Idea of Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU424.htm,Postgraduate ,
"IS472 Global Strategy, Management and Information Systems",IS472,"Global Strategy, Management and Information Systems",http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS472.htm,Postgraduate ,
IS470 Innovation and Information Systems: Concepts and Perspectives,IS470,Innovation and Information Systems: Concepts and Perspectives,http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS470.htm,Postgraduate ,
GY469 Environment and Development: Ecosystem Services and the Global South,GY469,Environment and Development: Ecosystem Services and the Global South,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY469.htm,Postgraduate ,
ID439 Foundations of Business and Management for Human Resources,ID439,Foundations of Business and Management for Human Resources,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID439.htm,Postgraduate ,
LL437E International Criminal Law,LL437, International Criminal Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL437E.htm,Postgraduate ,
"GY439 Cities, Politics and Citizenship",GY439,"Cities, Politics and Citizenship",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY439.htm,Postgraduate ,
EC455 Quantitative Approaches and Policy Analysis,EC455,Quantitative Approaches and Policy Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC455.htm,Postgraduate ,
"EU447 Democracy, Ideology and the European State",EU447,"Democracy, Ideology and the European State",http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU447.htm,Postgraduate ,
LL4BG Philosophy of European Union Law,LL4BG,Philosophy of European Union Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BG.htm,Postgraduate ,
LL4H3 Media Law: Regulating Newsgathering,LL4H3,Media Law: Regulating Newsgathering,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4H3.htm,Postgraduate ,
GV4A5 International Migration and Immigration Management,GV4A5,International Migration and Immigration Management,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4A5.htm,Postgraduate ,
GV4H2 Contemporary India: The World's Largest Democracy in the Early 21st Century,GV4H2,Contemporary India: The World's Largest Democracy in the Early 21st Century,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4H2.htm,Postgraduate ,
MG441 Foundations of Management (modular),MG441,Foundations of Management (modular),http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG441.htm,Postgraduate ,
LL4F1 Secured Financing in Commercial Transactions,LL4F1,Secured Financing in Commercial Transactions,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4F1.htm,Postgraduate ,
LL4BZ International Human Rights of Women: Advanced Issues,LL4BZ,International Human Rights of Women: Advanced Issues,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BZ.htm,Postgraduate ,
"MG436 Firms, Markets and Crises",MG436,"Firms, Markets and Crises",http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG436.htm,Postgraduate ,
ID432 International Employment Relations,ID432,International Employment Relations,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID432.htm,Postgraduate ,
SA4G2 Health Economics,SA4G2,Health Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4G2.htm,Postgraduate ,
GY438 Cities and Social Change in East Asia,GY438,Cities and Social Change in East Asia,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY438.htm,Postgraduate ,
"AC410 Management Accounting, Strategy and Organisational Control",AC410,"Management Accounting, Strategy and Organisational Control",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC410.htm,Postgraduate ,
MG460 Handling Disruption: Humanitarian Emergencies Management and Development,MG460,Handling Disruption: Humanitarian Emergencies Management and Development,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG460.htm,Postgraduate ,
"GV4C2 Globalization, Conflict and Post-Totalitarianism",GV4C2,"Globalization, Conflict and Post-Totalitarianism",http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4C2.htm,Postgraduate ,
ST405 Multivariate Methods,ST405,Multivariate Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST405.htm,Postgraduate ,
DV420 Complex Emergencies,DV420,Complex Emergencies,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV420.htm,Postgraduate ,
MC416 Representation in the Age of Globalisation,MC416,Representation in the Age of Globalisation,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC416.htm,Postgraduate ,
GY403 Contemporary Debates in Human Geography,GY403,Contemporary Debates in Human Geography,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY403.htm,Postgraduate ,
ST426 Applied Stochastic Processes,ST426,Applied Stochastic Processes,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST426.htm,Postgraduate ,
SA4J8 Social Policy and Development: Core Concepts,SA4J8,Social Policy and Development: Core Concepts,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4J8.htm,Postgraduate ,
SA4G3 Pharmaceutical Economics and Policy,SA4G3,Pharmaceutical Economics and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4G3.htm,Postgraduate ,
LL406E Regulation of Financial Markets I,LL406, Regulation of Financial Markets I,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL406E.htm,Postgraduate ,
PH422 Dissertation Seminar - Philosophy of Social Science,PH422,Dissertation Seminar - Philosophy of Social Science,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH422.htm,Postgraduate ,
EC440 Micro and Macro Economics (for Public Policy),EC440,Micro and Macro Economics (for Public Policy),http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC440.htm,Postgraduate ,
LL4G8 Law of Corporate Finance,LL4G8,Law of Corporate Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4G8.htm,Postgraduate ,
DV421 Global Health and Development,DV421,Global Health and Development,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV421.htm,Postgraduate ,
DV450 Bureaucracy and Development,DV450,Bureaucracy and Development,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV450.htm,Postgraduate ,
DV409 Economic Development Policy,DV409,Economic Development Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV409.htm,Postgraduate ,
GI410 Screening the Present: contemporary cinema and cultural critique,GI410,Screening the Present: contemporary cinema and cultural critique,http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI410.htm,Postgraduate ,
IR482 Russia and Eurasia: Foreign and Security Policies,IR482,Russia and Eurasia: Foreign and Security Policies,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR482.htm,Postgraduate ,
